"id","person_id","occupation_id"
2049,2168,6
2050,2169,26
2051,2170,26
2052,2171,26
2055,2176,14
2056,2177,3
2057,2178,3
2063,2181,7
2064,2184,71
2065,2187,4
2066,2189,5
2067,2192,16
2068,2193,3
2069,2194,6
2070,2194,17
2071,2195,3
2072,2196,3
2073,2197,3
2074,2198,3
2075,2199,3
2076,2200,5
2077,2200,11
2079,2204,7
2080,2206,16
2081,2209,16
2082,2210,3
2083,2212,16
2084,2213,3
2085,2215,4
2086,2216,16
2087,2217,6
2088,2218,3
2089,2219,3
2090,2219,16
2091,2220,7
2092,2223,29
2093,2225,3
2094,2226,4
2095,2227,3
2096,2228,7
2097,2229,6
2098,2230,16
2099,2233,6
2100,2235,11
2101,2235,1
2102,2236,53
2103,2237,18
2104,2237,42
2105,2237,5
2106,2237,19
2107,2238,4
2108,2238,28
2109,2239,16
2113,2242,16
2114,2244,32
2115,2246,3
2117,2248,5
2118,2248,66
2119,2250,53
2120,2250,38
2121,2251,5
2122,2252,3
2123,2253,3
2124,2254,3
2125,2255,16
2127,2259,13
